day,month,year,class_name,location,time_of_day,duration
4,March,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
4,March,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
1,March,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
28,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
28,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
21,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
21,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
19,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
19,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
16,February,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
14,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
14,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
12,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
12,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
10,February,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
7,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
7,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
5,February,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
5,February,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
2,February,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
27,January,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
24,January,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
24,January,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
22,January,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
22,January,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
19,January,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
17,January,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
17,January,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
10,January,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
10,January,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
8,January,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
8,January,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
6,January,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
18,December,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
18,December,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
16,December,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
11,December,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
8,December,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
6,December,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
6,December,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
4,December,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
4,December,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
2,December,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
29,November,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
29,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
27,November,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
27,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
20,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
18,November,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
15,November,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
15,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
8,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
6,November,2023,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
6,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
4,November,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
1,November,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
30,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
28,October,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
25,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
23,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
23,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
21,October,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
18,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
16,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
11,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
9,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
7,October,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
4,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
2,October,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
27,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
25,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
23,September,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
20,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
18,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
13,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
11,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
6,September,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
30,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
28,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
26,August,2023,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
23,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
21,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
16,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
14,August,2023,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",5:30am,60
